GatedCommunity,maintainance,Priceperunit,Searched,Question,AdditionalRooms,Location,Washroom,Description,Views,CarpetArea,Price,Bedrooms,BookingAmount,PowerBackup,URL,PostedBy,PropertyInfo,PostingDate,Deposit,address,PROPERTYCODE,BookingINFO,BuiltupArea,ProjectName,Trends,Furnishing,SuperBuiltupArea,Availability
  Yes,,"Rent Price:
₹ 27,000
 
",1372,"what is FAR for a 360 Sq yard plot,Want to buy 3/4 BHK apartment in Sector 66/67/69/70 Gurgaon. Budget is around 1.30 to 1.50 Cr. Pls suggest me the best township which is good in construction & amenities. vijay,I want to buy a ready to move commercial property in gurgaon which is already on rent. Seller or dealer can contact me on 97162 60336",,"Residential Apartment for Rent  in DLF Regency Park 1, DLF CITY PHASE 4, Gurgaon",2,"The apartments of dlf regency park are designed in such a way that these always get plenty of fresh air and natural light which is very essential for healthy living. Cement plastered walls in living rooms, Dining rooms, Bed rooms, Lobby and passages, And white mosaic/terrazzo floor provide classy look to the interiors of the apartments. The floor of the toilets are made up of ceramic tiles which give them durability and excellent look. Exquisite combination of ceramic tiles, Mirror and oil bound distemper paint on the walls gives fantastic look to the walls adding to the beauty of the interiors of the apartments. Granite counters, Durable floor tiles, Stainless steel single bowl, Single drain board sink are some of the features of kitchen due to which one would love to spend time in kitchen and prepare delicious cousins. Beauty of these abodes increases more due to teak veneered flush doors and pressed metal windows.",55,,27000.0,2,,  Full,http://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-dlf-regency-park-1-dlf-city-phase-4-gurgaon-1150-sq-ft-r1-spid-P12295465, Dealer: Raghunath Sharma & Sons ,"Floor number:,Available from: Immediate"," May 18, 2016",,"Address: Dlf Phase -Iv, DLF CITY PHASE 4, Gurgaon, Haryana",P12295465,"Gated Community:  Yes,Power Backup:  Full",1150,DLF Regency Park 1,"[[u'Localities', u'2Bedrooms', u'3Bedrooms'], [u'DLFCITYPHASE4', u'24,000-28,500', u'29,500-33,500'], [u'DLFCITY', u'22,500-27,000', u'29,000-35,500'], [u'SushantLok', u'19,000-23,000', u'25,000-30,000'], [u'Sector-27Gurgaon', u'-', u'26,500-30,000']]",Semifurnished,, Immediate
  Yes,,"Rent Price:
₹ 40,000
 
",3932,"what is FAR for a 360 Sq yard plot,Want to buy 3/4 BHK apartment in Sector 66/67/69/70 Gurgaon. Budget is around 1.30 to 1.50 Cr. Pls suggest me the best township which is good in construction & amenities. vijay,I want to buy a ready to move commercial property in gurgaon which is already on rent. Seller or dealer can contact me on 97162 60336", Servant Room,"Residential Apartment for Rent  in DLF The Regency Park Phase 2, DLF CITY PHASE 4, Gurgaon",3,"For rent 3 bhk +sq flooring change excellent wood work fully renovated flat.Spread over 24 acres of the verdant landscape and the strategic location of dlf phase - Iv, Dlf regency park is a high rise residential apartment complex located in dlf phase - Iv near famous shri ram school, The dlf city club and the well known galleria market. Dlf regency park is best option for those looking for luxurious apartments in gurgaon. The apartments of dlf regency park are designed in such a way that these always get plenty of fresh air and natural light which is very essential for healthy living.",113,,40000.0,3,,  Full,http://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-dlf-the-regency-park-phase-2-dlf-city-phase-4-gurgaon-1777-sq-ft-r3-spid-T13470241, Dealer: Raghunath Sharma & Sons ,"Floor number:,Available from: Immediate,Property age: 5 to 10 years old"," May 18, 2016",,"Address: Regency Park -Ii, DLF CITY PHASE 4, Gurgaon, Haryana",T13470241,"Additional Rooms: Servant Room,Flooring:  Vitrified,Gated Community:  Yes,Power Backup:  Full",1777,DLF The Regency Park Phase 2,"[[u'Localities', u'2Bedrooms', u'3Bedrooms', u'4Bedrooms'], [u'DLFCITYPHASE4', u'24,000-28,500', u'29,500-33,500', u'44,000-50,500'], [u'DLFCITY', u'22,500-27,000', u'29,000-35,500', u'34,500-43,000'], [u'SushantLok', u'19,000-23,000', u'25,000-30,000', u'56,500-68,000'], [u'Sector-27Gurgaon', u'-', u'26,500-30,000', u'31,000-38,000']]",Semifurnished,, 5 to 10 years old
  Yes,,"Rent Price:
₹ 1 Lac
 
",51,"i want a flat for rent in icon , dlf phase v, gurgaon , if u have any optio then call me kishor kumar 9873099551,Want to buy 3/4 BHK apartment in Sector 66/67/69/70 Gurgaon. Budget is around 1.30 to 1.50 Cr. Pls suggest me the best township which is good in construction & amenities. vijay,I want to buy a ready to move commercial property in gurgaon which is already on rent. Seller or dealer can contact me on 97162 60336"," Servant Room,  Others","Residential Apartment for Rent  in DLF The Pinnacle, DLF CITY PHASE 5, Gurgaon",4,"Luxury residential multi-Storey apartment ,100% power back-Up ,Air and well ventilated, Spacious balcony with every room ,Excellent covered woodwork and fighting-Fixture, Modular kitchen ,Parking ,Security, Swimming pool ,Club ,Gym, Shops, Ample green areas ,Children play ground ,With open lawns,Walled complex,Its located very close to most of the basic amenities with school,Hospital and mall,Located in premium locality which are one of the most well developed areas of gurgaon any more details .",1,,100000.0,4,,  Full,http://www.99acres.com/4-bhk-bedroom-apartment-flat-for-rent-in-dlf-the-pinnacle-dlf-city-phase-5-gurgaon-4000-sq-ft-spid-K25235206, Dealer: Aryan Properties ,"Floor number:,Facing: East,Available from: 18 May 2016,Property age: 5 to 10 years old,Available for: Family Only"," May 18, 2016",200000.0,"Address: Gurgaon, DLF CITY PHASE 5, Gurgaon, Haryana",K25235206,"Deposit:2monthsrent( 2 Lac),Additional Rooms: Servant Room, Others,Gated Community:  Yes,Power Backup:  Full",,DLF The Pinnacle,"[[u'Localities', u'2Bedrooms', u'3Bedrooms', u'4Bedrooms'], [u'DLFCITYPHASE5', u'23,500-26,500', u'25,500-30,000', u'43,500-50,000'], [u'Sector-53Gurgaon', u'-', u'40,000-46,500', u'48,000-53,000'], [u'Sector-43Gurgaon', u'19,500-23,000', u'24,500-31,500', u'36,000-48,000']]",Furnished,4000.0, Family Only
  Yes,,"Rent Price:
₹ 38,000
 
",269,"Want to buy 3/4 BHK apartment in Sector 66/67/69/70 Gurgaon. Budget is around 1.30 to 1.50 Cr. Pls suggest me the best township which is good in construction & amenities. vijay,I want to buy a ready to move commercial property in gurgaon which is already on rent. Seller or dealer can contact me on 97162 60336,I am looking to buy a 3 BHK ready to move in apartment in main Gurgaon in a good locality with all the amenities. Pls suggest me the options. My budget 80-90 L."," Servant Room,  Pooja Room","Residential Apartment for Rent  in Unitech Palms, South City 1, Gurgaon",3,"The palms is a self-Sufficient residential complex of 7 building blocks amidst more than 10 acres of space in gurgaon. The complex has its own club, Swimming pool, Lawns, Children play area, And a clock tower with duck pond. Enjoy peace of mind with our safety systems. All buildings are serviced with fire fighting equipment and have round the clock security.",22,,38000.0,3,,  Full,http://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-south-city-1-gurgaon-1778-sq-ft-r1-spid-U12630305, Dealer: Raghunath Sharma & Sons ,"Floor number:,Available from: Immediate"," May 18, 2016",,"Address: Unitech Palms, South City 1, Gurgaon, Haryana",U12630305,"Additional Rooms: Servant Room, Pooja Room,Flooring:  Vitrified,Gated Community:  Yes,Power Backup:  Full",1778,,"[[u'Localities', u'2Bedrooms', u'3Bedrooms', u'4Bedrooms'], [u'SouthCity1', u'25,000-27,000', u'29,500-34,000', u'-'], [u'Sector-30Gurgaon', u'16,000-18,000', u'38,500-46,000', u'65,000-71,500'], [u'SouthCity', u'24,500-27,000', u'29,500-33,500', u'-']]",Semifurnished,, Immediate
  Yes,8000.0,"Rent Price:
₹ 65,000
 
",2277,"Want to buy 3/4 BHK apartment in Sector 66/67/69/70 Gurgaon. Budget is around 1.30 to 1.50 Cr. Pls suggest me the best township which is good in construction & amenities. vijay,I want to buy a ready to move commercial property in gurgaon which is already on rent. Seller or dealer can contact me on 97162 60336,I am looking to buy a 3 BHK ready to move in apartment in main Gurgaon in a good locality with all the amenities. Pls suggest me the options. My budget 80-90 L."," Others,  Servant Room","Residential Apartment for Rent  in DLF Park Place, Sector-54 Gurgaon, Gurgaon",3,"Dlf park place: Excellent location, Fully air conditions with vrv system,  Spacious, Three bedrooms, Drawing and dining rooms, Attached bathrooms, Servant quarter, Modular kitchen two covered car parkings, Please call for site visit",25,,65000.0,3,60000.0,  Full,http://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-dlf-park-place-sector-54-gurgaon-1983-sq-ft-spid-C22708307, Dealer: Amber Estate ,"Floor number:,Facing: North-East,Available from: 15 April 2016,Property age: 0 to 1 year old,Available for: All"," May 18, 2016",,"Address: Park Heights, Sector-54 Gurgaon, Gurgaon, Haryana",C22708307,"Booking Amount: 60000/-,Maintenance: 8000/- (Monthly),Additional Rooms: Others, Servant Room,Flooring:  Marble,Gated Community:  Yes,Power Backup:  Full",,DLF Park Place,"[[u'Localities', u'2Bedrooms', u'3Bedrooms', u'4Bedrooms'], [u'Sector-54Gurgaon', u'16,000-21,500', u'44,500-56,000', u'56,500-71,000'], [u'Sector-53Gurgaon', u'-', u'40,000-46,500', u'48,000-53,000'], [u'DLFCITYPHASE5', u'23,500-26,500', u'25,500-30,000', u'43,500-50,000'], [u'SunCity', u'16,000-18,500', u'24,500-32,000', u'35,500-42,000'], [u'Sector-42Gurgaon', u'-', u'39,500-45,500', u'1,83,000-2,21,500']]",Furnished,1983.0, All
  Yes,,"Rent Price:
₹ 33,000
 
",328,"i want a flat for rent in icon , dlf phase v, gurgaon , if u have any optio then call me kishor kumar 9873099551,Want to buy 3/4 BHK apartment in Sector 66/67/69/70 Gurgaon. Budget is around 1.30 to 1.50 Cr. Pls suggest me the best township which is good in construction & amenities. vijay,I want to buy a ready to move commercial property in gurgaon which is already on rent. Seller or dealer can contact me on 97162 60336", Others,"Residential Apartment for Rent  in DLF Exclusive Floors, DLF CITY PHASE 5, Gurgaon",3,"3 bhk apartments with an area of 1500 sq ft. Possession was given to the apartment  as soon as, Reday to move in property in 1 st floor",5,,33000.0,3,,  Full,http://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-dlf-exclusive-floors-dlf-city-phase-5-gurgaon-1500-sq-ft-spid-X25230050, Dealer: Earth Estate ,"Floor number:,Facing: East,Width of facing road: 39.4 Feet,Available from: 18 May 2016,Property age: 1 to 5 years old,Available for: All"," May 17, 2016",66000.0,"Address: Dlf 5, DLF CITY PHASE 5, Gurgaon, Haryana",X25230050,"Deposit: 66,000,Additional Rooms: Others,Flooring:  Vitrified,Gated Community:  Yes,Power Backup:  Full",,DLF Exclusive Floors,"[[u'Localities', u'2Bedrooms', u'3Bedrooms', u'4Bedrooms'], [u'DLFCITYPHASE5', u'23,500-26,500', u'25,500-30,000', u'43,500-50,000'], [u'Sector-53Gurgaon', u'-', u'40,000-46,500', u'48,000-53,000'], [u'Sector-43Gurgaon', u'19,500-23,000', u'24,500-31,500', u'36,000-48,000']]",Unfurnished,1500.0, All
  Yes,,"Rent Price:
₹ 30,000
 
",87,"I WANT SELL MY RESIDENTIAL PLOT AT SECTOR 57 GURGAON MEASURING 500 SY YARDS. IT IS PREFERENTIAL(p) category plot facing main wide road.(it is semi commercial) i want direct buyer preferences is given to Doctors, lawyers etc who can use it as semi commercial. i expecting @90000/-sq.yard.please guid,Want to buy 3/4 BHK apartment in Sector 66/67/69/70 Gurgaon. Budget is around 1.30 to 1.50 Cr. Pls suggest me the best township which is good in construction & amenities. vijay,I want to buy a ready to move commercial property in gurgaon which is already on rent. Seller or dealer can contact me on 97162 60336", Servant Room,"Residential Apartment for Rent  in AEZ Aloha, Sector-57 Gurgaon, Gurgaon",3,For more details contact us,3,,30000.0,3,,  Full,http://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-aez-aloha-sector-57-gurgaon-2490-sq-ft-spid-A25222620, Dealer: Realty Konnection ,"Floor number:,Available from: 17 May 2016,Property age: 1 to 5 years old,Available for: All"," May 17, 2016",,"Address: Sector-57 Gurgaon, Gurgaon, Haryana",A25222620,"Additional Rooms: Servant Room,Gated Community:  Yes,Power Backup:  Full",,AEZ Aloha,"[[u'Localities', u'2Bedrooms', u'3Bedrooms', u'4Bedrooms'], [u'Sector-57Gurgaon', u'16,500-18,500', u'25,500-29,000', u'28,000-35,000'], [u'NirvanaCountry', u'22,500-25,000', u'25,500-30,500', u'33,500-38,500'], [u'Sector-51Gurgaon', u'-', u'20,500-25,000', u'23,500-27,000']]",Semifurnished,2490.0, All
  Yes,6900.0,"Rent Price:
₹ 32,000
 
",9285,"i am looking for apartment to buy in Emaar MGF Palm Drive,Sector 66 Gurgaon , east facing . 2600 sqft would be good . Any lead please contact 8800323934,Want to buy 3/4 BHK apartment in Sector 66/67/69/70 Gurgaon. Budget is around 1.30 to 1.50 Cr. Pls suggest me the best township which is good in construction & amenities. vijay,I want to buy a ready to move commercial property in gurgaon which is already on rent. Seller or dealer can contact me on 97162 60336", Servant Room,"Residential Apartment for Rent  in Emaar MGF Palm Drive, Sector-66 Gurgaon, Gurgaon",3,"3 bhk+sq 1950 sq.Ft.Palm drive sector-66,Gurgaon",365,,32000.0,3,,  Full,http://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-emaar-mgf-palm-drive-sector-66-gurgaon-1950-sq-ft-spid-T23999885, Dealer: Planet landbase Pvt. Ltd ,"Floor number:,Facing: North,Available from: 01 March 2016,Property age: 0 to 1 year old,Available for: All"," May 18, 2016",64000.0,"Address: Tower N, Sector-66 Gurgaon, Gurgaon, Haryana",T23999885,"Maintenance: 6900/- (Monthly),Deposit:2monthsrent( 64,000),Additional Rooms: Servant Room,Flooring:  Wood,Gated Community:  Yes,Power Backup:  Full",1950,Emaar MGF Palm Drive,"[[u'Localities', u'2Bedrooms', u'3Bedrooms', u'4Bedrooms'], [u'Sector-66Gurgaon', u'16,000-17,000', u'21,000-24,000', u'20,000-23,500'], [u'Sector-49Gurgaon', u'18,000-22,000', u'23,500-26,000', u'27,000-33,000'], [u'GolfCourseExt.Road', u'18,500-23,000', u'23,500-28,500', u'27,000-33,500']]",Furnished,, All
  Yes,,"Rent Price:
₹ 30,000
 
",4327,"I Have a shop in bestech park view city 2 which is available for rent or sale,but could not happens from the last one year.Please advise,I want to buy a ready to move commercial property in gurgaon which is already on rent. Seller or dealer can contact me on 9716260336,Want to buy 3/4 BHK apartment in Sector 66/67/69/70 Gurgaon. Budget is around 1.30 to 1.50 Cr. Pls suggest me the best township which is good in construction & amenities. vijay"," Pooja Room,  Study Room,  Servant Room","Residential Apartment for Rent  in Orchid Petals, Sector-49 Gurgaon, Gurgaon",3,Avill for rent 3bhk on orchid patels sohna road sector 49 moduler kitchen wood and worke complite and car parking 100%power backup and servent room and gateed security,122,,30000.0,3,,  Full,http://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-orchid-petals-sector-49-gurgaon-2060-sq-ft-r1-spid-X18342415, Dealer: Future Realtors ,"Floor number:,Facing: North,Available from: Immediate,Property age: 1 to 5 years old"," May 18, 2016",60000.0,"Address: Sector 49 Orchid Patels Sohna Road,Gurgaon, Sector-49 Gurgaon, Gurgaon, Haryana",X18342415,"Deposit: 60,000,Additional Rooms: Pooja Room, Study Room, Servant Room,Flooring:  Wood,Gated Community:  Yes,Power Backup:  Full",,Orchid Petals,"[[u'Localities', u'2Bedrooms', u'3Bedrooms', u'4Bedrooms'], [u'Sector-49Gurgaon', u'18,000-22,000', u'23,500-26,000', u'27,000-33,000'], [u'GolfCourseExt.Road', u'18,500-23,000', u'23,500-28,500', u'27,000-33,500']]",Furnished,2060.0, 1 to 5 years old
  Yes,4500.0,"Rent Price:
₹ 37,000
 
",189,"Want to buy 3/4 BHK apartment in Sector 66/67/69/70 Gurgaon. Budget is around 1.30 to 1.50 Cr. Pls suggest me the best township which is good in construction & amenities. vijay,I want to buy a ready to move commercial property in gurgaon which is already on rent. Seller or dealer can contact me on 97162 60336,I am looking to buy a 3 BHK ready to move in apartment in main Gurgaon in a good locality with all the amenities. Pls suggest me the options. My budget 80-90 L.", Servant Room,"Residential Apartment for Rent  in Unitech The Palms, South City, Gurgaon",3,"Available for rent 3 bhk semi furnished flat in the palms park and pool facing, The palms is a self-Sufficient residential complex of 7 building blocks amidst more than 10 acres of space in gurgaon. Each block of 16 floors offers you big 2-Bedroom, 3-Bedroom apartments and penthouses. The complex has its own club, Swimming pool, Lawns, Children play area, And a clock tower with duck pond. Enjoy peace of mind with our safety systems. All buildings are serviced with fire fighting equipment and have round the clock security.",7,,37000.0,3,10000.0,  Full,http://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-unitech-the-palms-south-city-gurgaon-1553-sq-ft-spid-N25062019, Dealer: Best Deal Realty ,"Floor number:,Facing: East,Available from: 15 May 2016,Property age: 5 to 10 years old,Available for: All"," May 07, 2016",74000.0,"Address: Tower 5, South City, Gurgaon, Haryana",N25062019,"Booking Amount: 10000/-,Maintenance: 4500/- (Monthly),Annual Dues: 1/-,Brokerage: 18500/- (Non-Negotiable),Deposit:2monthsrent( 74,000),Entry/Membership charge: 5000/-,Additional Rooms: Servant Room,Flooring:  Vitrified,Gated Community:  Yes,Power Backup:  Full",,Unitech The Palms,"[[u'Localities', u'2Bedrooms', u'3Bedrooms'], [u'SouthCity', u'24,500-27,000', u'29,500-33,500'], [u'SouthCity1', u'25,000-27,000', u'29,500-34,000']]",Semifurnished,1553.0, All
